sport,sport_type,sport_location,city,region,latitude,longitude
outdoor,multi-sport,sentier de ski de fond,montréal,ville-marie,,
playground - children,multi-sport,aire de jeu combiné,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,pierrefonds-roxboro,,
sports,multi-sport,soccer sous-terrain à 7,montréal,verdun,,
leisure and relaxation,multi-sport,bocce,montréal,villeray-saint-michel-parc-extension,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,lasalle,,
playground - children,multi-sport,aire de jeu combiné,montréal,montréal-nord,,
sports,multi-sport,soccer à 11,montréal,mercier-hochelaga-maisonneuve,,
sports,multi-sport,tennis,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,villeray-saint-michel-parc-extension,,
sports,multi-sport,soccer à 7,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le plateau-mont-royal,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,côte-des-neiges-notre-dame-de-grâce,,
recreational,multi-sport,pastille - basketball,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,villeray-saint-michel-parc-extension,,
recreational,multi-sport,volleyball de plage,montréal,mercier-hochelaga-maisonneuve,,
outdoor,multi-sport,aire de pique-nique,montréal,côte-des-neiges-notre-dame-de-grâce,,
sports,multi-sport,soccer / football,montréal,ahuntsic-cartierville,,
outdoor,multi-sport,aire de pêche autorisée,montréal,pierrefonds-roxboro,,
outdoor,multi-sport,aire de pique-nique,montréal,côte-des-neiges-notre-dame-de-grâce,,
playground - children,multi-sport,aire de jeu combiné,montréal,montréal-nord,,
sports,multi-sport,football,montréal,le sud-ouest,,
sports,multi-sport,tennis,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,côte-des-neiges-notre-dame-de-grâce,,
sports,multi-sport,soccer à 11,montréal,le sud-ouest,,
recreational,multi-sport,patinoire 4 saisons,montréal,rosemont-la petite-patrie,,
sports,multi-sport,balle,montréal,ahuntsic-cartierville,,
recreational,multi-sport,patinoire avec bandes,montréal,côte-des-neiges-notre-dame-de-grâce,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rosemont-la petite-patrie,,
recreational,multi-sport,pataugeoire,montréal,le sud-ouest,,
recreational,multi-sport,patinoire sans bandes,montréal,mercier-hochelaga-maisonneuve,,
sports,multi-sport,soccer / football,montréal,côte-des-neiges-notre-dame-de-grâce,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,balle,montréal,ahuntsic-cartierville,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,le sud-ouest,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,lasalle,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,lasalle,,
recreational,multi-sport,volleyball de plage,montréal,saint-léonard,,
sports,multi-sport,soccer à 11,montréal,montréal-nord,,
leisure and relaxation,multi-sport,pétanque,montréal,montréal-nord,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-laurent,,
recreational,multi-sport,basketball,montréal,rosemont-la petite-patrie,,
leisure and relaxation,multi-sport,pétanque,montréal,anjou,,
recreational,multi-sport,piscine extérieure,montréal,anjou,,
recreational,multi-sport,patinoire avec bandes,montréal,côte-des-neiges-notre-dame-de-grâce,,
sports,multi-sport,golf,montréal,lachine,,
recreational,multi-sport,piscine extérieure,montréal,rivière-des-prairies-pointe-aux-trembles,,
outdoor,multi-sport,sentier de ski de fond,montréal,pierrefonds-roxboro,,
recreational,multi-sport,pataugeoire,montréal,ville-marie,,
sports,multi-sport,soccer à 7,montréal,saint-léonard,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,mercier-hochelaga-maisonneuve,,
sports,multi-sport,soccer à 11,montréal,rivière-des-prairies-pointe-aux-trembles,,
outdoor,multi-sport,sentier de ski de fond,montréal,lachine,,
playground - children,multi-sport,aire de jeu combiné,montréal,pierrefonds-roxboro,,
leisure and relaxation,multi-sport,aire d'exercice canin,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,verdun,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le sud-ouest,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,verdun,,
recreational,multi-sport,pastille - basketball,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
recreational,multi-sport,jeux d'eau,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,côte-des-neiges-notre-dame-de-grâce,,
recreational,multi-sport,piscine extérieure,montréal,lachine,,
sports,multi-sport,balle,montréal,pierrefonds-roxboro,,
sports,multi-sport,balle,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,soccer à 7,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,tennis,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-léonard,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,saint-laurent,,
sports,multi-sport,soccer / football,montréal,côte-des-neiges-notre-dame-de-grâce,,
recreational,multi-sport,patinoire sans bandes,montréal,mercier-hochelaga-maisonneuve,,
sports,multi-sport,soccer à 11,montréal,rivière-des-prairies-pointe-aux-trembles,,
recreational,multi-sport,piscine extérieure,montréal,saint-léonard,,
outdoor,multi-sport,sentier de ski de fond,montréal,lachine,,
recreational,multi-sport,jeux d'eau,montréal,mercier-hochelaga-maisonneuve,,
recreational,multi-sport,patinoire sans bandes,montréal,côte-des-neiges-notre-dame-de-grâce,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le plateau-mont-royal,,
sports,multi-sport,balle,montréal,le plateau-mont-royal,,
recreational,multi-sport,jeux d'eau,montréal,ahuntsic-cartierville,,
leisure and relaxation,multi-sport,aire d'exercice canin,montréal,mercier-hochelaga-maisonneuve,,
recreational,multi-sport,piscine extérieure,montréal,lachine,,
leisure and relaxation,multi-sport,pétanque,montréal,lachine,,
recreational,multi-sport,croquet,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,soccer à 11,montréal,côte-des-neiges-notre-dame-de-grâce,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,verdun,,
sports,multi-sport,soccer à 7,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le plateau-mont-royal,,
recreational,multi-sport,patinoire sans bandes,montréal,rivière-des-prairies-pointe-aux-trembles,,
recreational,multi-sport,patinoire sans bandes,montréal,mercier-hochelaga-maisonneuve,,
recreational,multi-sport,pastille - basketball,montréal,outremont,,
outdoor,multi-sport,quai,montréal,rivière-des-prairies-pointe-aux-trembles,,
recreational,multi-sport,jeux d'eau,montréal,rosemont-la petite-patrie,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,lasalle,,
sports,multi-sport,soccer à 11,montréal,anjou,,
leisure and relaxation,multi-sport,aire de glissade,montréal,saint-laurent,,
leisure and relaxation,multi-sport,fontaine,montréal,outremont,,
outdoor,multi-sport,étang / lac,montréal,saint-laurent,,
recreational,multi-sport,basketball,montréal,saint-laurent,,
recreational,multi-sport,basketball,montréal,le plateau-mont-royal,,
leisure and relaxation,multi-sport,aire de glissade,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,verdun,,
sports,multi-sport,balle,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,mercier-hochelaga-maisonneuve,,
sports,multi-sport,multisport,montréal,ahuntsic-cartierville,,
sports,multi-sport,balle,montréal,saint-léonard,,
recreational,multi-sport,patinoire sans bandes,montréal,verdun,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,ville-marie,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,lasalle,,
recreational,multi-sport,jeux d'eau,montréal,verdun,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,villeray-saint-michel-parc-extension,,
sports,multi-sport,soccer à 7,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,saint-laurent,,
recreational,multi-sport,croquet,montréal,ahuntsic-cartierville,,
recreational,multi-sport,jeux d'eau,montréal,rosemont-la petite-patrie,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,tennis,montréal,côte-des-neiges-notre-dame-de-grâce,,
recreational,multi-sport,patinoire sans bandes,montréal,villeray-saint-michel-parc-extension,,
sports,multi-sport,soccer sous-terrain à 7,montréal,villeray-saint-michel-parc-extension,,
sports,multi-sport,soccer sous-terrain à 7,montréal,outremont,,
recreational,multi-sport,pataugeoire,montréal,mercier-hochelaga-maisonneuve,,
leisure and relaxation,multi-sport,aire de glissade,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,outremont,,
outdoor,multi-sport,sentier pédestre,montréal,pierrefonds-roxboro,,
leisure and relaxation,multi-sport,pétanque,montréal,le sud-ouest,,
leisure and relaxation,multi-sport,pétanque,montréal,outremont,,
recreational,multi-sport,basketball,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,anjou,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,pierrefonds-roxboro,,
recreational,multi-sport,jeux d'eau,montréal,ville-marie,,
recreational,multi-sport,basketball,montréal,verdun,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,anjou,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le sud-ouest,,
recreational,multi-sport,basketball,montréal,saint-léonard,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,lasalle,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,pierrefonds-roxboro,,
recreational,multi-sport,basketball,montréal,pierrefonds-roxboro,,
outdoor,multi-sport,sentier pédestre,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-laurent,,
leisure and relaxation,multi-sport,aire d'exercice canin,montréal,saint-laurent,,
sports,multi-sport,soccer à 11,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu combiné,montréal,villeray-saint-michel-parc-extension,,
outdoor,multi-sport,aire de pique-nique,montréal,côte-des-neiges-notre-dame-de-grâce,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,anjou,,
recreational,multi-sport,basketball,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,bocce,montréal,saint-léonard,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,ville-marie,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,ville-marie,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,montréal-nord,,
sports,multi-sport,soccer à 11,montréal,rosemont-la petite-patrie,,
sports,multi-sport,balle,montréal,saint-laurent,,
recreational,multi-sport,jeux d'eau,montréal,lasalle,,
recreational,multi-sport,patinoire sans bandes,montréal,côte-des-neiges-notre-dame-de-grâce,,
recreational,multi-sport,volleyball de plage,montréal,le sud-ouest,,
recreational,multi-sport,basketball,montréal,pierrefonds-roxboro,,
leisure and relaxation,multi-sport,pétanque,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,l'île-bizard-sainte-geneviève,,
recreational,multi-sport,pataugeoire,montréal,le plateau-mont-royal,,
sports,multi-sport,soccer à 4-5,montréal,l'île-bizard-sainte-geneviève,,
outdoor,multi-sport,aire de pique-nique,montréal,lasalle,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,ahuntsic-cartierville,,
outdoor,multi-sport,aire de pique-nique,montréal,ahuntsic-cartierville,,
recreational,multi-sport,jeux d'eau,montréal,saint-léonard,,
recreational,multi-sport,piscine extérieure,montréal,rosemont-la petite-patrie,,
sports,multi-sport,soccer à 7,montréal,ahuntsic-cartierville,,
recreational,multi-sport,jeux d'eau,montréal,saint-laurent,,
recreational,multi-sport,basketball,montréal,anjou,,
leisure and relaxation,multi-sport,ping-pong,montréal,le plateau-mont-royal,,
sports,multi-sport,soccer à 11,montréal,villeray-saint-michel-parc-extension,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-laurent,,
recreational,multi-sport,patinoire sans bandes,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,mercier-hochelaga-maisonneuve,,
sports,multi-sport,tennis,montréal,saint-laurent,,
outdoor,multi-sport,aire de pique-nique,montréal,mercier-hochelaga-maisonneuve,,
recreational,multi-sport,patinoire avec bandes,montréal,ahuntsic-cartierville,,
recreational,multi-sport,patinoire avec bandes,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,ahuntsic-cartierville,,
leisure and relaxation,multi-sport,pétanque,montréal,ahuntsic-cartierville,,
recreational,multi-sport,jeux d'eau,montréal,saint-léonard,,
leisure and relaxation,multi-sport,aire d'exercice canin,montréal,mercier-hochelaga-maisonneuve,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,ville-marie,,
recreational,multi-sport,jeux d'eau,montréal,le sud-ouest,,
recreational,multi-sport,jeux d'eau,montréal,rosemont-la petite-patrie,,
sports,multi-sport,soccer à 11,montréal,lachine,,
sports,multi-sport,soccer à 11,montréal,l'île-bizard-sainte-geneviève,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,le sud-ouest,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rosemont-la petite-patrie,,
sports,multi-sport,soccer sous-terrain à 7,montréal,saint-laurent,,
recreational,multi-sport,basketball,montréal,villeray-saint-michel-parc-extension,,
recreational,multi-sport,patinoire réfrigérée / basketball,montréal,lasalle,,
recreational,multi-sport,patinoire avec bandes,montréal,côte-des-neiges-notre-dame-de-grâce,,
sports,multi-sport,soccer à 7,montréal,montréal-nord,,
recreational,multi-sport,pataugeoire,montréal,verdun,,
playground - children,multi-sport,aire de jeu combiné,montréal,saint-léonard,,
sports,multi-sport,tennis,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-léonard,,
sports,multi-sport,soccer à 7,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le plateau-mont-royal,,
sports,multi-sport,balle,montréal,côte-des-neiges-notre-dame-de-grâce,,
outdoor,multi-sport,quai,montréal,lachine,,
sports,multi-sport,soccer à 4-5,montréal,ahuntsic-cartierville,,
recreational,multi-sport,aire de planche à roulette,montréal,montréal-nord,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,verdun,,
sports,multi-sport,soccer à 11,montréal,côte-des-neiges-notre-dame-de-grâce,,
recreational,multi-sport,jeux d'eau,montréal,l'île-bizard-sainte-geneviève,,
leisure and relaxation,multi-sport,ping-pong,montréal,le plateau-mont-royal,,
recreational,multi-sport,basketball,montréal,côte-des-neiges-notre-dame-de-grâce,,
outdoor,multi-sport,sentier de ski de fond,montréal,rosemont-la petite-patrie,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,verdun,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rosemont-la petite-patrie,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,bocce,montréal,lasalle,,
sports,multi-sport,soccer à 11,montréal,lasalle,,
recreational,multi-sport,patinoire avec bandes,montréal,rosemont-la petite-patrie,,
recreational,multi-sport,pataugeoire,montréal,le plateau-mont-royal,,
outdoor,multi-sport,sentier pédestre,montréal,anjou,,
sports,multi-sport,soccer à 11,montréal,villeray-saint-michel-parc-extension,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,mercier-hochelaga-maisonneuve,,
sports,multi-sport,soccer à 4-5,montréal,le sud-ouest,,
leisure and relaxation,multi-sport,ping-pong,montréal,ville-marie,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,soccer à 7,montréal,villeray-saint-michel-parc-extension,,
recreational,multi-sport,aire de planche à roulette,montréal,villeray-saint-michel-parc-extension,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,outremont,,
sports,multi-sport,football,montréal,saint-laurent,,
recreational,multi-sport,jeux d'eau,montréal,saint-laurent,,
recreational,multi-sport,basketball,montréal,montréal-nord,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,villeray-saint-michel-parc-extension,,
sports,multi-sport,soccer à 7,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,montréal-nord,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rosemont-la petite-patrie,,
sports,multi-sport,tennis,montréal,anjou,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,ahuntsic-cartierville,,
sports,multi-sport,tennis,montréal,saint-léonard,,
sports,multi-sport,aire de tir à l'arc,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,verdun,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,le sud-ouest,,
recreational,multi-sport,basketball,montréal,ahuntsic-cartierville,,
recreational,multi-sport,patinoire avec bandes,montréal,côte-des-neiges-notre-dame-de-grâce,,
sports,multi-sport,tennis,montréal,le plateau-mont-royal,,
recreational,multi-sport,basketball,montréal,lasalle,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,lasalle,,
sports,multi-sport,soccer à 7,montréal,rosemont-la petite-patrie,,
leisure and relaxation,multi-sport,théâtre extérieur,montréal,le plateau-mont-royal,,
leisure and relaxation,multi-sport,pétanque,montréal,le plateau-mont-royal,,
recreational,multi-sport,basketball,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,pétanque,montréal,le sud-ouest,,
sports,multi-sport,tennis,montréal,pierrefonds-roxboro,,
sports,multi-sport,bassin olympique,montréal,ville-marie,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,le sud-ouest,,
recreational,multi-sport,basketball,montréal,montréal-nord,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,villeray-saint-michel-parc-extension,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,villeray-saint-michel-parc-extension,,
recreational,multi-sport,pataugeoire,montréal,montréal-nord,,
sports,multi-sport,balle,montréal,montréal-nord,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rosemont-la petite-patrie,,
playground - children,multi-sport,aire de jeu combiné,montréal,villeray-saint-michel-parc-extension,,
recreational,multi-sport,jeux d'eau,montréal,côte-des-neiges-notre-dame-de-grâce,,
sports,multi-sport,soccer à 4-5,montréal,lachine,,
recreational,multi-sport,patinoire avec bandes,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-laurent,,
outdoor,multi-sport,sentier pédestre,montréal,pierrefonds-roxboro,,
recreational,multi-sport,jeux d'eau,montréal,ville-marie,,
recreational,multi-sport,piscine extérieure,montréal,saint-laurent,,
outdoor,multi-sport,piste cyclable,montréal,l'île-bizard-sainte-geneviève,,
sports,multi-sport,soccer à 11,montréal,lasalle,,
sports,multi-sport,balle,montréal,villeray-saint-michel-parc-extension,,
recreational,multi-sport,patinoire avec bandes,montréal,anjou,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,lachine,,
sports,multi-sport,soccer à 11,montréal,saint-laurent,,
sports,multi-sport,tennis,montréal,lasalle,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,verdun,,
sports,multi-sport,soccer à 7,montréal,rosemont-la petite-patrie,,
recreational,multi-sport,piscine extérieure,montréal,saint-laurent,,
leisure and relaxation,multi-sport,bocce,montréal,anjou,,
recreational,multi-sport,piscine extérieure,montréal,lasalle,,
leisure and relaxation,multi-sport,fer / galet,montréal,lachine,,
outdoor,multi-sport,aire de pique-nique,montréal,montréal-nord,,
recreational,multi-sport,patinoire sans bandes,montréal,ahuntsic-cartierville,,
leisure and relaxation,multi-sport,plancher de danse,montréal,rosemont-la petite-patrie,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
recreational,multi-sport,basketball,montréal,le sud-ouest,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-léonard,,
sports,multi-sport,soccer à 4-5,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,villeray-saint-michel-parc-extension,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,mercier-hochelaga-maisonneuve,,
recreational,multi-sport,patinoire avec bandes,montréal,rosemont-la petite-patrie,,
recreational,multi-sport,volleyball de plage,montréal,le sud-ouest,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rosemont-la petite-patrie,,
outdoor,multi-sport,piste cyclable,montréal,ville-marie,,
recreational,multi-sport,jeux d'eau,montréal,rosemont-la petite-patrie,,
recreational,multi-sport,aire de planche à roulette,montréal,l'île-bizard-sainte-geneviève,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,lasalle,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,pierrefonds-roxboro,,
leisure and relaxation,multi-sport,pétanque,montréal,ahuntsic-cartierville,,
leisure and relaxation,multi-sport,pétanque,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,l'île-bizard-sainte-geneviève,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,mercier-hochelaga-maisonneuve,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,côte-des-neiges-notre-dame-de-grâce,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,mercier-hochelaga-maisonneuve,,
leisure and relaxation,multi-sport,anneau / rond de glace,montréal,pierrefonds-roxboro,,
sports,multi-sport,soccer à 11,montréal,ville-marie,,
recreational,multi-sport,patinoire sans bandes,montréal,ahuntsic-cartierville,,
outdoor,multi-sport,étang / lac,montréal,le sud-ouest,,
sports,multi-sport,soccer à 11,montréal,villeray-saint-michel-parc-extension,,
outdoor,multi-sport,aire de pique-nique,montréal,saint-laurent,,
outdoor,multi-sport,abri soleil,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,balle,montréal,ahuntsic-cartierville,,
sports,multi-sport,soccer à 4-5,montréal,lachine,,
sports,multi-sport,balle,montréal,mercier-hochelaga-maisonneuve,,
sports,multi-sport,piste d'athlétisme (400m) et équipements,montréal,lasalle,,
sports,multi-sport,tennis,montréal,lasalle,,
recreational,multi-sport,piscine extérieure,montréal,verdun,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,mercier-hochelaga-maisonneuve,,
leisure and relaxation,multi-sport,bocce,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,le sud-ouest,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,ville-marie,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,outremont,,
leisure and relaxation,multi-sport,aire d'exercice canin,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu combiné,montréal,saint-léonard,,
leisure and relaxation,multi-sport,bocce,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,pétanque,montréal,mercier-hochelaga-maisonneuve,,
sports,multi-sport,soccer à 4-5,montréal,l'île-bizard-sainte-geneviève,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,verdun,,
recreational,multi-sport,aire de planche à roulette,montréal,lachine,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,villeray-saint-michel-parc-extension,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,lasalle,,
recreational,multi-sport,volleyball de plage,montréal,le plateau-mont-royal,,
sports,multi-sport,soccer à 7,montréal,lasalle,,
leisure and relaxation,multi-sport,aire de glissade,montréal,mercier-hochelaga-maisonneuve,,
recreational,multi-sport,patinoire sans bandes,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,soccer / football,montréal,lasalle,,
recreational,multi-sport,pataugeoire,montréal,le sud-ouest,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
recreational,multi-sport,pataugeoire,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,montréal-nord,,
leisure and relaxation,multi-sport,pétanque,montréal,rosemont-la petite-patrie,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,côte-des-neiges-notre-dame-de-grâce,,
recreational,multi-sport,pataugeoire,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le plateau-mont-royal,,
recreational,multi-sport,basketball,montréal,lasalle,,
sports,multi-sport,balle,montréal,ville-marie,,
leisure and relaxation,multi-sport,ciné-parc,montréal,anjou,,
recreational,multi-sport,patinoire avec bandes,montréal,lasalle,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,villeray-saint-michel-parc-extension,,
recreational,multi-sport,patinoire avec bandes,montréal,saint-léonard,,
recreational,multi-sport,jeux d'eau,montréal,rivière-des-prairies-pointe-aux-trembles,,
recreational,multi-sport,volleyball de plage,montréal,le sud-ouest,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,verdun,,
leisure and relaxation,multi-sport,bocce,montréal,villeray-saint-michel-parc-extension,,
sports,multi-sport,soccer à 7,montréal,pierrefonds-roxboro,,
